geocode,publisher,activity_or_facility,row_count
,,,325941
,Actihire,,17280
,Actihire,Sports Hall,10712
,Active Leeds,,55420
,Active Luton,,4659
,Active Tameside,,5760
,Ashmole Trust,,10
,Bangor City Stadium,,14690
,Barrow Park Leisure Centre,,9072
,Be Well - London Borough of Tower Hamlets,,10
,Beaconsfield Town FC,,12768
,Better,,3219144
,Birmingham City Council,,10
,Bookwhen,,1576
,Bookwhen,"Abs/Core, Core Stability, Pilates",28
,Bookwhen,"Abs/Core, Flexibility/Stretching, Pilates, Trigger Point",4
,Bookwhen,Aerial Hoop,8
,Bookwhen,Aerobics,44
,Bookwhen,Body Conditioning,16
,Bookwhen,"Breathwork, Flexibility/Stretching, Pilates",8
,Bookwhen,Chair Based Exercise,32
,Bookwhen,Falls and Exercise Management,32
,Bookwhen,"Falls and Exercise Management, Postural Stability Instruction",12
,Bookwhen,Flexibility/Stretching,44
,Bookwhen,"Flexibility/Stretching, Pilates",4
,Bookwhen,"Flexibility/Stretching, Trigger Point",8
,Bookwhen,"Flexibility/Stretching, Yoga",4
,Bookwhen,"Group Exercise, Kettlebells",4
,Bookwhen,"Hatha Yoga, Vinyasa Yoga, Yoga",8
,Bookwhen,"Hatha Yoga, Yoga",80
,Bookwhen,Iyengar Yoga,28
,Bookwhen,Legs Bums And Tums,36
,Bookwhen,Personal Training,12
,Bookwhen,Pilates,208
,Bookwhen,Power Pilates,8
,Bookwhen,Rebound,4
,Bookwhen,Soft Play,28
,Bookwhen,Stretch Class,4
,Bookwhen,Trampoline Fitness,4
,Bookwhen,Weight Training,32
,Bookwhen,"Yin Yoga, Yoga",4
,Bookwhen,Yoga,208
,British Orienteering,,1203
,British Triathlon,Triathlon,10
,BwD Leisure,,5892
,Castlepoint,,225
,Colchester Leisure World,,54855
,Conwy,,62030
,Derby Active,,13518
,Eire Og GAA,Sports Hall,140198
,Elgar Park Regional Hockey Association,Sports Hall,43268
,Everyone Active,,367445
,Everyone Active,Abs/Core,5
,Everyone Active,Aqua Aerobics,15
,Everyone Active,Body Combat™,5
,Everyone Active,Body Conditioning,5
,Everyone Active,Bodybalance™,5
,Everyone Active,Bootcamp,5
,Everyone Active,Boxercise,5
,Everyone Active,Clubbercise,5
,Everyone Active,Football,10
,Everyone Active,Group Exercise,135
,Everyone Active,Gym Workout,1085
,Everyone Active,Pickleball,10
,Everyone Active,Rpm™,5
,Everyone Active,Soft Play,10
,Everyone Active,Step Aerobics,5
,Everyone Active,Swimming,1205
,Everyone Active,Walking Cricket,5
,Everyone Active,Yoga,15
,Everyone Active,Zumba®,5
,Exercise Anywhere,,99
,Exercise Anywhere,Nordic Walking,129
,Fylde Coast YMCA,,4825
,gmcommunitylettings,Sports Hall,384
,GoodGym,Running,152
,Halo,,189225
,Huntingdonshire District Council,,3195
,ID Verde Charnwood,,444
,Liberty Leisure,,14185
,Life Leisure,,45498
,Lincs Inspire,,1605
,Loughborough University,,482523
,LRSO,,163648
,LRSO,Sports Hall,52138
,Open Sessions,20-20-20,6
,Orchard Learning Alliance,,2020
,Oxford University,,1565
,"Parkwood Leisure Ltd, its subsidiaries and partner organisations",,241785
,Pembrokeshire Leisure,,730
,Places Leisure,,98390
,Places Leisure,Aqua Fit,5
,Places Leisure,Body Combat™,5
,Places Leisure,Bootcamp,5
,Places Leisure,Boxfit,5
,Places Leisure,"Circuit Training, Group Exercise",5
,Places Leisure,Group Exercise,5
,Places Leisure,Indoor Cycling,10
,Places Leisure,Kettlebells,5
,Places Leisure,Swimming,5
,Places Leisure,Yoga,10
,Played,,38796
,Playwaze,11-a-side,8
,Playwaze,Airgun,4
,Playwaze,Aqua Fit,4
,Playwaze,Argentine Tango,4
,Playwaze,Bachata,8
,Playwaze,Badminton,16
,Playwaze,Ballet,28
,Playwaze,Boxing,8
,Playwaze,Breathwork,12
,Playwaze,Contemporary,12
,Playwaze,Dance,20
,Playwaze,Dance Fitness,4
,Playwaze,diddi dance,4
,Playwaze,FitSteps®,64
,Playwaze,Flag Football,8
,Playwaze,Flexibility/Stretching,4
,Playwaze,Folk Dance,4
,Playwaze,Football,4
,Playwaze,Functional Fitness,4
,Playwaze,Group Exercise,4
,Playwaze,Gymnastics,60
,Playwaze,Hatha Yoga,4
,Playwaze,HIIT,4
,Playwaze,Line Dancing,4
,Playwaze,Multisports,32
,Playwaze,Pickleball,8
,Playwaze,Pilates,4
,Playwaze,Street Dance,28
,Playwaze,Sweaty Mama,4
,Playwaze,Tai Chi,4
,Playwaze,Tennis,240
,Playwaze,Walking,8
,Playwaze,Yoga,8
,Playwaze,Zumba®,12
,Playwaze,Zumba® Gold,4
,Plymouth Active,,5520
,Schools Plus Ltd,,50112
,Serco Leisure,,194922
,SLL and InspireAll,,151767
,Southwark Council,,11810
,"St George's School, Harpenden",Sports Hall,33670
,TeamUp,,44691
,TeamUp,Abs/Core,3
,TeamUp,Pilates,6
,TeamUp,Rebound,3
,Tendring Leisure,,17466
,The Downside Settlement,Sports Hall,7254
,TM Active,,38810
,Trafford Community Leisure Trust,,27700
,University of Bristol,,19011
,Vision Redbridge,,1300
,Wigan Leisure and Culture Trust,,56355
,WV Active,,44485
,Your Leisure,,16385
E06000001,Active Hartlepool,,2275
E06000001,Active Hartlepool,Dance Fitness,5
E06000001,Active Hartlepool,Gym Workout,10
E06000001,Active Hartlepool,Pilates,10
E06000001,Active Hartlepool,Short Tennis,10
E06000001,Active Hartlepool,Step Aerobics,5
E06000001,Active Hartlepool,Yoga,5
E06000001,Playwaze,Badminton,4
E06000002,England Netball,Walking Netball,4
E06000002,Everyone Active,,75735
